M HIP_ID  Dist       RA_J2000   DEC_J2000   V_MAG Parallax  PM_RA   PM_DEC      CCDM      Sp_Type   
M  67663 N/A       13:51:47.22 -46:53:55.2  5.77    2.78    -15.69   -14.83  --------  B2Vp         
M  67796 N/A       13:53:18.13 -66:30:44.7  7.10    0.28     -3.77    -3.42  --------  B2V          
M  68124 N/A       13:56:47.98 -46:23:09.6  6.95    3.51     -8.17    -3.44  --------  B2V          
M  68704 N/A       14:03:51.66 -59:27:47.2  9.26    1.20     -4.26    -4.14  --------  B2Ve         
M  68862 N/A       14:06:02.77 -41:10:46.6  4.36    7.31    -24.42   -21.63  --------  B2V          
M  69617 N/A       14:14:56.81 -61:14:18.4  9.54    2.33     -1.37    -1.64  --------  B2V          
M  69640 N/A       14:15:11.78 -64:44:25.4  9.97    4.59     -0.74    -1.52  --------  B2V          
M  70300 N/A       14:23:02.24 -39:30:42.5  4.41    7.79    -24.32   -21.81  --------  B2V          
M  70506 N/A       14:25:22.07 -54:35:00.3  8.96   -1.02     -2.75    -2.38  --------  B2V          
M  71264 N/A       14:34:29.26 -64:12:07.3  9.07    1.87     -2.83    -0.08  --------  B2Vne        
M  73522 N/A       15:01:38.38 -56:15:36.6  6.89    1.58     -3.46    -4.17  --------  B2Vn         
M  74141 N/A       15:09:00.75 -72:18:26.8  6.73    1.13     -6.08    -7.05  --------  B2Vn         
M  77859 N/A       15:53:55.87 -23:58:41.1  5.41    8.30    -12.88   -24.06  --------  B2V          
M  78821 N/A       16:05:26.56 -19:48:06.6  4.90    2.88    -34.59    -7.47 16054-1948 B2V          
M  79038 N/A       16:07:59.78 -55:07:49.5  9.23   -0.44     -0.23     0.87  --------  B2Ve         
M  79404 N/A       16:12:18.21 -27:55:34.9  4.58    6.97    -10.31   -23.17  --------  B2V          
M  80569 N/A       16:27:01.44 -18:27:22.4  4.22    6.67     -5.58   -22.22  --------  B2Vne        
M  80721 N/A       16:28:49.89 -44:48:45.4  7.32    2.19     -2.33    -0.72  --------  B2Ve         
M  81557 N/A       16:39:23.58 -52:32:09.3  9.09    1.12     -0.64     1.50  --------  B2Vn         
M  82652 N/A       16:53:44.41 -40:18:59.0  8.92    0.44      3.21    -2.06  --------  B2V          
M  83509 N/A       17:04:01.25 -51:05:01.1  8.19   -4.36     12.55    -5.67 17040-5105 B2V          
M  83861 N/A       17:08:21.00 -33:51:55.4  8.73    1.27      3.03    -3.17  --------  B2V          
M  84745 N/A       17:19:24.15 -38:00:13.3  7.84    0.08      3.38    -2.35  --------  B2V:ne       
M  85530 N/A       17:28:43.99 -82:46:46.5  6.64    2.09     -0.44    -1.67 17288-8247 B2V          
M  85792 N/A       17:31:50.50 -49:52:34.0  2.84   13.46    -31.27   -67.15 17318-4953 B2Vne        
M  86253 N/A       17:37:30.91 -35:19:59.0  8.16    2.66     -1.72    -0.93  --------  B2Vne        
M  88149 N/A       18:00:15.80 +04:22:06.9  4.79    4.82      1.78   -12.95  --------  B2Ve         
M  88496 N/A       18:04:15.03 -24:23:27.7  9.19    1.71      0.02    -1.36  --------  B2Vne        
M  88506 N/A       18:04:23.23 -24:26:16.7  8.93   -0.99      1.29    -2.57  --------  B2Vp         
M  89551 N/A       18:16:22.20 +10:48:53.3  7.58    1.16     -1.63    -7.73  --------  B2V          
M  89902 N/A       18:20:42.19 -59:50:23.5  6.99    3.27     26.06    -4.22  --------  B2V          
M  90377 N/A       18:26:29.22 +26:27:39.6  7.09    4.21      0.12    -4.12  --------  B2V          
M  90610 N/A       18:29:21.99 -25:15:23.7  6.63    1.01     -0.22    -7.33  --------  B2Vnne       
M  90676 N/A       18:30:05.12 +04:03:55.2  6.66    1.17     -0.08    -5.59 18301+0404 B2V          
M  91918 N/A       18:44:19.36 -35:38:31.1  4.86    7.23      1.21   -26.98 18443-3539 B2V          
M  92470 N/A       18:50:41.38 -47:46:47.0  7.07   -0.60     -1.39    -3.40  --------  B2V          
M  92904 N/A       18:55:46.67 +00:15:54.5  7.38    3.06      0.28    -6.35  --------  B2V          
M  93218 N/A       18:59:17.34 +10:08:27.5  6.75    0.84      1.37    -3.10  --------  B2Vp         
M  93302 N/A       19:00:15.80 +15:20:49.4  8.87    1.00      4.29    -2.86  --------  B2V          
M  93502 N/A       19:02:34.14 -10:43:18.4  6.64    3.50      4.37   -12.99  --------  B2V          
M  93680 N/A       19:04:38.50 +23:19:45.4  7.24    3.59      2.13    -5.37 19047+2320 B2Ve         
M  93996 N/A       19:08:16.70 -19:17:25.0  5.56    2.13      5.27    -1.14  --------  B2V          
M  94513 N/A       19:14:10.73 -76:38:14.1 10.22    0.13     17.92   -19.06  --------  B2V          
M  95147 N/A       19:21:27.88 +25:36:14.2  7.43    1.77      0.95    -3.95  --------  B2V          
M  95213 N/A       19:22:12.38 +22:32:10.5  7.81    2.78     -0.11    -6.17  --------  B2V          
M  95408 N/A       19:24:30.18 -27:51:57.4  6.03    2.48     11.07   -16.26  --------  B2Vnn        
M  96362 N/A       19:35:32.02 +31:16:35.9  7.46    1.79      4.81     2.42  --------  B2V          
M  98000 N/A       19:54:58.36 +23:28:35.1  9.70    0.22     -0.01    -6.60  --------  B2V:         
M  98428 N/A       19:59:55.78 +19:53:22.1  7.66    0.68     -0.46    -5.38  --------  B2V          
M 100142 N/A       20:18:49.66 +46:19:19.9  6.46    1.23     -4.42    -7.89  --------  B2V          
M 100170 N/A       20:19:06.34 -69:26:06.4  8.84    0.44      9.35     1.49  --------  B2V          
M 100574 N/A       20:23:44.38 +37:28:35.2  5.87    3.65      5.09     0.17  --------  B2Vne        
M 100744 N/A       20:25:32.81 +54:41:03.1  7.27    1.30     -2.93    -5.11 20255+5441 B2Ve         
M 101442 N/A       20:33:30.39 +32:54:27.7  7.34    2.60      1.21    -7.84  --------  B2V          
M 102177 N/A       20:42:12.63 +50:20:24.1  5.41    3.53      1.14     3.71 20422+5020 B2V          
M 102953 N/A       20:51:30.94 +37:59:22.1  7.29    2.01     -3.86    -3.02  --------  B2V          
M 103763 N/A       21:01:36.92 +68:09:47.7  7.34    2.33      6.74    -1.48  --------  B2Ve         
M 104356 N/A       21:08:27.65 +56:02:43.2  7.95    2.02     -2.43    -4.68  --------  B2V          
M 104454 N/A       21:09:34.61 +45:44:18.5  7.66    0.70     -1.75    -1.49  --------  B2Vn...      
M 104709 N/A       21:12:37.33 +45:47:42.4  8.63    1.42      0.27    -3.40  --------  B2V          
M 104883 N/A       21:14:45.49 +59:45:39.7  8.67    1.04     -2.18    -0.11  --------  B2Ve         
M 105138 N/A       21:17:55.07 +34:53:48.8  4.41    3.62     11.96     6.85 21179+3454 B2Vne        
M 105925 N/A       21:27:13.42 +56:12:30.1  9.02    1.65     -2.32    -3.46  --------  B2V          
M 106079 N/A       21:29:14.84 +44:20:17.2  7.62    1.96      3.76    -1.66  --------  B2V:nne:     
M 106620 N/A       21:35:44.48 +29:44:43.9  8.15    1.82      0.76   -10.91  --------  B2Vne        
M 106716 N/A       21:36:59.64 +58:08:24.6  8.52    2.14     -6.67    -7.41  --------  B2Vnne       
M 106896 N/A       21:39:01.04 +61:33:22.1  8.68    0.94     -1.09    -1.90  --------  B2V          
M 106905 N/A       21:39:04.74 +56:56:59.3  9.13    2.36     -2.76    -6.23  --------  B2V          
M 107209 N/A       21:42:52.10 +57:01:01.0  9.41    2.03     -1.76    -5.45  --------  B2V          
M 107276 N/A       21:43:45.15 +62:46:17.5  8.59    1.60     -2.70    -2.42  --------  B2V          
M 107734 N/A       21:49:26.87 +20:27:44.8  6.27    1.77      1.69     0.83  --------  B2V          
M 107827 N/A       21:50:40.63 +61:48:11.1  8.18    0.71     -4.11    -1.23  --------  B2V          
M 107913 N/A       21:51:47.65 +61:56:34.4  7.44    1.73     -3.61    -1.71  --------  B2Vnp        
M 108364 N/A       21:57:11.10 +66:09:22.2  6.41    2.02      5.84    -0.32  --------  B2V          
M 108531 N/A       21:59:11.52 +33:37:50.6  8.22    1.82     -3.52    -5.14  --------  B2V          
M 109130 N/A       22:06:17.68 +55:14:48.4  7.64    1.18     -2.53    -3.54  --------  B2V          
M 110849 N/A       22:27:26.50 +39:48:36.0  6.16    2.39     -0.53    -6.09  --------  B2V          
M 111544 N/A       22:35:52.08 +39:37:41.3  6.60   12.92    -14.36    -5.71 22358+3937 B2V          
M 111589 N/A       22:36:22.33 +37:50:32.0  6.84    2.92     -0.89    -5.34  --------  B2V          
M 113853 N/A       23:03:23.72 +60:26:43.5  6.74    1.69      7.58    -0.41 23034+6027 B2V          
M 114097 N/A       23:06:32.18 +51:04:37.8  7.42    2.41     -0.28    -4.13  --------  B2V          
M 114174 N/A       23:07:18.00 +46:04:05.3  6.66    1.65      0.09    -1.64  --------  B2V          
M 115579 N/A       23:24:43.39 +36:21:43.7  7.01    2.21      5.33    -1.37  --------  B2V          
M 115950 N/A       23:29:30.13 +59:36:12.7  8.26    2.83      6.45    -1.57  --------  B2V          
M 116324 N/A       23:34:09.28 +55:29:19.6  7.53    1.61      1.89    -8.71  --------  B2V          
M 117514 N/A       23:49:53.12 +62:12:50.7  7.74    0.87     -4.53    -2.90  --------  B2Vn(e)      
